Draw,Date,Winning Number 1,2,3,4,5,6,Extra Number ,From Last,Same As Day,Odd,Even, 1-10, 11-20, 21-30, 31-40, 41-50,Division 1 Winners,Division 1 Prize,Division 2 Winners,Division 2 Prize,Division 3 Winners,Division 3 Prize,Division 4 Winners,Division 4 Prize,Division 5 Winners,Division 5 Prize,Division 6 Winners,Division 6 Prize,Division 7 Winners,Division 7 Prize,Turnover
19/035,2019-03-26,2,3,10,21,31,35,11,10,,4,2,3,0,1,2,0,0.50,26735420,6.50,345010,76.00,78680,351.70,9600,4520.40,640,9468.00,320,86126.80,40,54025291
19/034,2019-03-23,10,11,15,39,46,49,21,,,4,2,1,2,0,1,2,0.00,0,2.00,1067810,47.00,121170,183.50,9600,3242.70,640,5726.50,320,66681.90,40,44411661
19/033,2019-03-21,7,12,22,32,37,45,47,,,3,3,1,1,1,2,1,0.00,0,2.00,953700,95.50,53260,172.50,9600,3978.50,640,4941.50,320,73156.20,40,42006379
19/032,2019-03-19,4,18,23,38,40,46,15,23,,1,5,1,1,1,2,1,0.50,15756940,2.00,1176430,57.00,110070,151.50,9600,3352.40,640,4207.40,320,64732.90,40,45875409
19/031,2019-03-16,5,9,12,23,31,43,29,43,,5,1,2,1,1,1,1,0.00,0,0.50,1396700,107.50,34640,173.00,9600,4038.50,640,5235.30,320,67027.30,40,34878023
19/030,2019-03-14,4,10,25,28,40,43,39,,,2,4,2,0,2,1,1,1.00,23215520,8.00,305240,88.00,73990,158.50,9600,3710.70,640,4536.30,320,74193.40,40,48529402
19/029,2019-03-12,6,21,27,33,38,47,46,,,4,2,1,0,2,2,1,0.00,0,1.00,2197350,84.00,69750,167.50,9600,4398.50,640,4441.00,320,78946.90,40,46481276
19/028,2019-03-09,13,32,34,35,41,46,30,,,3,3,0,1,0,3,2,0.00,0,2.50,706320,72.00,65400,136.00,9600,3291.70,640,4187.40,320,52354.00,40,36634886
19/027,2019-03-07,8,15,17,23,39,44,40,,,4,2,1,2,1,1,1,0.50,8000000,2.00,937540,52.00,96150,92.00,9600,2736.70,640,3115.70,320,54554.80,40,36205355
19/026,2019-03-05,10,16,28,32,34,49,45,,,1,5,1,1,1,2,1,1.00,14621280,1.00,2207090,61.50,95700,134.50,9600,3233.30,640,4274.50,320,64018.70,40,43441300
